amenity_name,amenity_type,lat,long,district_name
P0072,Carpark,1.309342438,103.9010322,MARINE PARADE
P0075,Carpark,1.310056587,103.8627802,KALLANG
P0076,Carpark,1.299709118,103.7517099,JURONG EAST
P0077,Carpark,1.302390647,103.7496651,JURONG EAST
P0078,Carpark,1.304480734,103.7583636,CLEMENTI
P0081,Carpark,1.303681569,103.6563619,PIONEER
P0082,Carpark,1.297440048,103.6651075,PIONEER
P0083,Carpark,1.306879555,103.6620507,PIONEER
P0084,Carpark,1.297896403,103.6668484,PIONEER
P0086,Carpark,1.312748335,103.7512538,CLEMENTI
P0093,Carpark,1.276717297,103.7956426,QUEENSTOWN
P0094,Carpark,1.278875055,103.7856058,QUEENSTOWN
P0095,Carpark,1.312788385,103.731687,JURONG EAST
P0096,Carpark,1.299852877,103.8421207,ORCHARD
P0099,Carpark,1.295845931,103.6673906,PIONEER
P0102,Carpark,1.321381662,103.7482163,JURONG EAST
P0103,Carpark,1.313213204,103.6834854,PIONEER
P0106,Carpark,1.291622447,103.7680951,QUEENSTOWN
P0109,Carpark,1.384626875,103.9437561,PASIR RIS
P0111,Carpark,1.301816207,103.8610235,ROCHOR
P0113,Carpark,1.275398793,103.7923927,QUEENSTOWN
P0114,Carpark,1.329053197,103.6682753,WESTERN WATER CATCHMENT
P0115,Carpark,1.374192902,103.9518112,PASIR RIS
P0116,Carpark,1.291585014,103.8213784,BUKIT MERAH
P0117,Carpark,1.277599326,103.8453685,DOWNTOWN CORE
Q0001,Carpark,1.299498087,103.8534435,ROCHOR
Q0002,Carpark,1.303163245,103.8565826,ROCHOR
Q0004,Carpark,1.332555817,103.7104918,JURONG WEST
Q0005,Carpark,1.333075721,103.7105084,JURONG WEST
Q0006,Carpark,1.299948441,103.8533357,ROCHOR
Q0007,Carpark,1.301668216,103.8558938,DOWNTOWN CORE
Q0008,Carpark,1.304697284,103.8020941,QUEENSTOWN
Q0009,Carpark,1.29034678,103.8003355,QUEENSTOWN
R0001,Carpark,1.309731758,103.8529564,ROCHOR
R0002,Carpark,1.314523063,103.8563997,KALLANG
R0003,Carpark,1.316081895,103.8532704,KALLANG
R0006,Carpark,1.444520874,103.7803791,WOODLANDS
R0010,Carpark,1.294255662,103.8419594,RIVER VALLEY
R0011,Carpark,1.310553424,103.8536277,ROCHOR
R0015,Carpark,1.308408605,103.8551539,ROCHOR
R0028,Carpark,1.327470378,103.8669701,KALLANG
R0036,Carpark,1.308869778,103.851283,ROCHOR
R0037,Carpark,1.316530989,103.8542174,KALLANG
R0038,Carpark,1.310850738,103.8522889,KALLANG
R0039,Carpark,1.316584673,103.8539152,KALLANG
R0040,Carpark,1.291745632,103.8621678,DOWNTOWN CORE
S0001,Carpark,1.309460841,103.8567684,KALLANG
S0002,Carpark,1.295983948,103.8548228,DOWNTOWN CORE
S0005,Carpark,1.314061259,103.8572878,KALLANG
S0007,Carpark,1.313741576,103.8538238,KALLANG
S0009,Carpark,1.302831555,103.8509796,ROCHOR
S0011,Carpark,1.301779183,103.8485547,ROCHOR
S0013,Carpark,1.302170945,103.8606786,ROCHOR
S0015,Carpark,1.280204074,103.8479883,OUTRAM
S0018,Carpark,1.302001148,103.8604407,ROCHOR
S0019,Carpark,1.304967661,103.856723,ROCHOR
S0020,Carpark,1.372336757,103.8288303,ANG MO KIO
S0021,Carpark,1.30925464,103.8560203,KALLANG
S0022,Carpark,1.307500549,103.8579565,KALLANG
S0023,Carpark,1.312634851,103.8588362,KALLANG
S0026,Carpark,1.331144997,103.7962899,BUKIT TIMAH
S0027,Carpark,1.329887213,103.8706338,TOA PAYOH
S0032,Carpark,1.304656314,103.8389682,NEWTON
S0033,Carpark,1.376845335,103.7455474,CHOA CHU KANG
S0035,Carpark,1.29909263,103.8524675,ROCHOR
S0038,Carpark,1.297286171,103.8563048,DOWNTOWN CORE
S0039,Carpark,1.314364311,103.87749,GEYLANG
S0040,Carpark,1.333148312,103.714098,JURONG WEST
S0043,Carpark,1.331033193,103.7948734,BUKIT TIMAH
S0045,Carpark,1.315466795,103.854075,KALLANG
S0046,Carpark,1.314898992,103.855021,KALLANG
S0047,Carpark,1.324959392,103.8467613,NOVENA
S0048,Carpark,1.336665885,103.8845974,TOA PAYOH
S0049,Carpark,1.314879736,103.8585923,KALLANG
S0050,Carpark,1.329568198,103.8717,TOA PAYOH
S0055,Carpark,1.362961439,103.8665898,SERANGOON
S0061,Carpark,1.441447349,103.8225324,SEMBAWANG
S0063,Carpark,1.364451197,103.8644184,SERANGOON
S0064,Carpark,1.363730064,103.8654786,SERANGOON
S0065,Carpark,1.365282015,103.8648423,SERANGOON
S0066,Carpark,1.31131007,103.8584318,KALLANG
S0070,Carpark,1.361763389,103.8857795,HOUGANG
S0074,Carpark,1.358532641,103.8372395,BISHAN
S0075,Carpark,1.330663497,103.7379065,JURONG EAST
